DAY;Jan.SR;Jan.SS;Feb.SR;Feb.SS;Mar.SS;Mar.SR;Apr.SS;Apr.SR;MaySS;MaySR;JuneSS;JuneSR;JulySS;JulySR;Aug.SS;Aug.SR;Sept.SS;Sept.SR;Oct.SS;Oct.SR;Nov.SS;Nov.SR;Dec.SS;Dec.SR
01;0946;1753;0921;1839;0830;1927;0723;2018;0622;2105;0540;2148;0539;2200;0613;2130;0700;2031;0745;1925;0836;1822;0924;1746
02;0946;1754;0919;1840;0828;1929;0721;2019;0620;2107;0540;2149;0540;2200;0615;2129;0701;2029;0747;1923;0838;1821;0925;1745
03;0946;1755;0918;1842;0826;1930;0719;2021;0618;2108;0539;2150;0540;2200;0616;2127;0703;2027;0749;1921;0839;1819;0926;1745
04;0946;1756;0916;1844;0824;1932;0717;2022;0617;2110;0538;2151;0541;2159;0618;2125;0704;2025;0750;1918;0841;1817;0928;1744
05;0945;1757;0915;1845;0822;1934;0714;2024;0615;2111;0538;2152;0542;2159;0619;2124;0706;2023;0752;1916;0843;1816;0929;1744
06;0945;1758;0913;1847;0820;1935;0712;2026;0613;2113;0537;2152;0543;2158;0621;2122;0707;2020;0753;1914;0844;1814;0930;1743
07;0945;1800;0912;1849;0818;1937;0710;2027;0612;2114;0537;2153;0544;2158;0622;2120;0709;2018;0755;1912;0846;1813;0931;1743
08;0944;1801;0910;1851;0816;1939;0708;2029;0610;2116;0536;2154;0544;2157;0624;2119;0710;2016;0756;1910;0848;1811;0932;1743
09;0944;1802;0908;1852;0813;1940;0706;2030;0608;2117;0536;2155;0545;2156;0625;2117;0712;2014;0758;1908;0849;1809;0933;1743
10;0943;1804;0907;1854;0811;1942;0704;2032;0607;2119;0536;2156;0546;2156;0627;2115;0713;2012;0800;1905;0851;1808;0934;1742
11;0943;1805;0905;1856;0809;1944;0702;2033;0605;2120;0535;2156;0547;2155;0628;2113;0715;2009;0801;1903;0853;1807;0936;1742
12;0942;1806;0903;1858;0807;1945;0659;2035;0604;2122;0535;2157;0548;2154;0630;2111;0716;2007;0803;1901;0854;1805;0936;1742
13;0942;1808;0901;1859;0805;1947;0657;2037;0602;2123;0535;2157;0549;2153;0631;2110;0718;2005;0804;1859;0856;1804;0937;1742
14;0941;1809;0900;1901;0803;1949;0655;2038;0601;2125;0535;2158;0550;2153;0633;2108;0719;2003;0806;1857;0858;1802;0938;1742
15;0940;1811;0858;1903;0800;1950;0653;2040;0559;2126;0534;2159;0552;2152;0634;2106;0721;2000;0808;1855;0859;1801;0939;1743
16;0939;1812;0856;1905;0758;1952;0651;2041;0558;2128;0534;2159;0553;2151;0636;2104;0723;1958;0809;1853;0901;1800;0940;1743
17;0939;1814;0854;1906;0756;1953;0649;2043;0556;2129;0534;2159;0554;2150;0637;2102;0724;1956;0811;1851;0903;1759;0941;1743
18;0938;1815;0852;1908;0754;1955;0647;2045;0555;2130;0534;2200;0555;2149;0639;2100;0726;1954;0813;1849;0904;1757;0941;1743
19;0937;1817;0850;1910;0752;1957;0645;2046;0554;2132;0534;2200;0556;2148;0640;2058;0727;1952;0814;1847;0906;1756;0942;1744
20;0936;1818;0848;1912;0750;1958;0643;2048;0553;2133;0535;2200;0557;2146;0642;2056;0729;1949;0816;1845;0907;1755;0943;1744
21;0935;1820;0846;1913;0747;2000;0641;2049;0551;2135;0535;2201;0559;2145;0643;2054;0730;1947;0817;1843;0909;1754;0943;1744
22;0934;1822;0845;1915;0745;2002;0639;2051;0550;2136;0535;2201;0600;2144;0645;2052;0732;1945;0819;1841;0910;1753;0944;1745
23;0933;1823;0843;1917;0743;2003;0637;2053;0549;2137;0535;2201;0601;2143;0646;2050;0733;1943;0821;1839;0912;1752;0944;1745
24;0931;1825;0841;1919;0741;2005;0635;2054;0548;2138;0536;2201;0603;2142;0648;2048;0735;1940;0822;1837;0914;1751;0945;1746
25;0930;1827;0839;1920;0739;2006;0633;2056;0547;2140;0536;2201;0604;2140;0649;2046;0736;1938;0824;1835;0915;1750;0945;1747
26;0929;1828;0837;1922;0736;2008;0631;2057;0546;2141;0536;2201;0605;2139;0651;2044;0738;1936;0826;1833;0917;1749;0945;1747
27;0928;1830;0834;1924;0734;2010;0629;2059;0545;2142;0537;2201;0607;2138;0652;2042;0739;1934;0827;1831;0918;1748;0946;1748
28;0927;1832;0832;1925;0732;2011;0627;2100;0544;2143;0537;2201;0608;2136;0654;2040;0741;1932;0829;1830;0919;1748;0946;1749
29;0925;1833;;;0730;2013;0626;2102;0543;2144;0538;2201;0609;2135;0655;2038;0742;1929;0831;1828;0921;1747;0946;1750
30;0924;1835;;;0728;2014;0624;2104;0542;2146;0538;2201;0611;2133;0657;2035;0744;1927;0832;1826;0922;1746;0946;1751
31;0922;1837;;;0725;2016;;;0541;2147;;;0612;2132;0658;2033;;;0834;1824;;;0946;1752
